,Source,Destination,Reason,Path,Nodes,Band,Available_Other
519,12,7,Slots Full,2,,2,1
520,5,16,Slots Full,2,,2,0
521,8,12,Slots Full,2,,2,1
522,13,7,Slots Full,2,,2,1
523,1,14,Slots Full,2,,2,0
524,13,3,Slots Full,2,,2,0
525,6,13,Slots Full,2,,2,1
526,12,4,Slots Full,2,,2,0
527,13,11,Slots Full,1,,1,1
528,5,17,Slots Full,2,,2,0
529,3,15,Slots Full,2,,2,0
530,14,6,Slots Full,2,,2,1
531,7,14,Slots Full,2,,2,1
532,15,2,Slots Full,2,,2,1
533,12,9,Slots Full,2,,2,1
534,14,13,Slots Full,2,,2,1
535,3,17,Slots Full,2,,2,1
536,16,12,Slots Full,2,,2,1
537,17,6,Slots Full,2,,2,1
538,5,6,Slots Full,2,,2,1
539,5,17,Slots Full,2,,2,0
540,12,2,Slots Full,2,,2,1
541,12,6,Slots Full,2,,2,1
542,8,15,Slots Full,2,,2,1
543,3,1,Slots Full,2,,2,1
544,8,13,Slots Full,2,,2,1
545,14,7,Slots Full,2,,2,0
546,12,7,Slots Full,2,,2,0
547,6,13,Slots Full,2,,2,1
548,13,2,Slots Full,2,,2,1
549,9,12,Slots Full,2,,2,1
550,5,3,Slots Full,2,,2,1
551,16,14,Slots Full,2,,2,1
552,12,16,Slots Full,2,,2,1
553,3,14,Slots Full,2,,2,0
554,2,16,Slots Full,2,,2,0
555,2,13,Slots Full,2,,2,1
556,13,3,Slots Full,2,,2,0
557,5,12,Slots Full,2,,1,1
558,5,12,Slots Full,2,,2,0
559,10,13,Slots Full,2,,2,1
560,1,12,Slots Full,2,,2,0
561,14,7,Slots Full,2,,2,1
562,13,5,Slots Full,2,,2,0
563,5,12,Slots Full,2,,2,1
564,13,5,Slots Full,2,,2,0
565,16,10,Slots Full,2,,2,1
566,4,13,Slots Full,2,,2,1
567,11,5,Slots Full,2,,2,1
568,6,13,Slots Full,2,,2,1
569,4,16,Slots Full,2,,2,0
570,12,7,Slots Full,2,,2,1
571,3,17,Slots Full,2,,2,0
572,8,13,Slots Full,2,,2,1
573,16,1,Slots Full,2,,2,0
574,13,5,Slots Full,2,,2,0
575,10,15,Slots Full,2,,2,1
576,9,13,Slots Full,2,,2,1
577,17,3,Slots Full,2,,2,1
578,16,5,Slots Full,2,,2,0
579,9,3,Slots Full,2,,2,1
580,7,3,Slots Full,2,,2,0
581,16,3,Slots Full,2,,2,0
582,13,3,Slots Full,2,,2,0
583,17,5,Slots Full,2,,2,0
584,4,17,Slots Full,4,,3,1
585,7,3,Slots Full,2,,2,0
586,17,5,Slots Full,2,,2,0
587,1,12,Slots Full,2,,2,0
588,10,6,Slots Full,2,,2,1
589,7,11,Slots Full,2,,2,1
590,13,8,Slots Full,2,,2,1
591,6,16,Slots Full,2,,2,0
592,3,7,Slots Full,2,,2,0
593,9,3,Slots Full,2,,2,1
594,12,13,Slots Full,2,,2,1
595,5,7,Slots Full,4,,3,0
596,15,10,Slots Full,2,,2,1
597,10,3,Slots Full,4,,3,1
598,8,14,Slots Full,2,,2,0
599,8,16,Slots Full,2,,2,1
600,8,16,Slots Full,2,,2,1
601,15,2,Slots Full,2,,2,1
602,12,16,Slots Full,2,,2,1
603,8,13,Slots Full,2,,2,1
604,17,6,Slots Full,2,,2,1
605,17,5,Slots Full,2,,2,0
606,6,11,Slots Full,2,,2,1
607,15,8,Slots Full,2,,2,1
608,3,5,Slots Full,2,,2,1
609,5,8,Slots Full,2,,2,1
610,7,6,Slots Full,2,,1,1
611,5,4,Slots Full,2,,2,1
612,15,8,Slots Full,2,,2,1
613,3,17,Slots Full,2,,2,0
614,15,3,Slots Full,2,,2,0
615,13,2,Slots Full,2,,2,0
616,2,13,Slots Full,2,,2,1
617,15,9,Slots Full,2,,2,1
618,3,14,Slots Full,2,,2,0
619,17,1,Slots Full,2,,2,1
620,2,16,Slots Full,2,,2,0
621,16,9,Slots Full,2,,2,1
622,14,4,Slots Full,2,,2,0
623,11,13,Slots Full,1,,1,1
624,16,1,Slots Full,2,,2,0
625,15,3,Slots Full,2,,2,0
626,3,17,Slots Full,2,,2,1
627,7,15,Slots Full,2,,2,0
628,15,5,Slots Full,2,,2,0
629,11,1,Slots Full,2,,2,0
630,8,12,Slots Full,1,,0,1
631,12,8,Slots Full,2,,2,1
632,15,8,Slots Full,2,,2,1
633,13,9,Slots Full,2,,2,1
634,15,9,Slots Full,2,,2,1
635,13,3,Slots Full,2,,2,0
636,6,13,Slots Full,2,,2,1
637,7,12,Slots Full,2,,2,0
638,13,6,Slots Full,2,,2,1
639,3,16,Slots Full,2,,2,1
640,1,16,Slots Full,2,,2,0
641,7,12,Slots Full,2,,2,1
642,13,2,Slots Full,2,,2,0
643,13,4,Slots Full,1,,0,1
644,4,15,Slots Full,2,,2,0
645,14,1,Slots Full,4,,3,1
646,13,3,Slots Full,2,,1,1
647,6,10,Slots Full,2,,2,1
648,13,14,Slots Full,2,,2,1
649,3,16,Slots Full,2,,2,0
650,4,3,Slots Full,2,,2,1
651,14,5,Slots Full,2,,2,0
652,15,1,Slots Full,2,,2,0
653,9,16,Slots Full,2,,2,1
654,14,13,Slots Full,2,,2,1
655,10,13,Slots Full,2,,2,1
656,10,16,Slots Full,2,,2,1
657,7,6,Slots Full,4,,3,0
658,7,12,Slots Full,2,,2,0
659,12,13,Slots Full,2,,2,1
660,9,5,Slots Full,2,,2,0
661,9,5,Slots Full,2,,2,0
662,15,14,Slots Full,2,,2,1
663,4,14,Slots Full,2,,2,0
664,15,4,Slots Full,2,,2,0
665,3,16,Slots Full,2,,2,0
666,3,15,Slots Full,2,,2,0
667,17,3,Slots Full,2,,2,0
668,7,5,Slots Full,4,,3,0
669,15,1,Slots Full,2,,2,0
670,2,16,Slots Full,2,,2,0
671,13,2,Slots Full,2,,2,0
672,1,14,Slots Full,2,,2,0
673,8,3,Slots Full,2,,2,1
674,3,13,Slots Full,2,,2,0
675,15,8,Slots Full,2,,2,1
676,15,7,Slots Full,2,,2,0
677,5,4,Slots Full,2,,2,1
678,5,13,Slots Full,2,,2,0
679,14,3,Slots Full,2,,2,0
680,3,8,Slots Full,2,,2,1
681,16,8,Slots Full,2,,2,1
682,8,13,Slots Full,2,,2,1
683,5,13,Slots Full,2,,2,0
684,17,6,Slots Full,2,,2,1
685,12,13,Slots Full,2,,2,1
686,16,6,Slots Full,2,,2,0
687,15,3,Slots Full,2,,2,0
688,6,13,Slots Full,2,,2,1
689,9,12,Slots Full,2,,2,0
690,5,13,Slots Full,2,,2,0
691,12,4,Slots Full,2,,2,0
692,14,13,Slots Full,2,,2,1
693,16,8,Slots Full,2,,2,1
694,1,12,Slots Full,2,,2,0
695,11,12,Slots Full,1,,1,1
696,10,16,Slots Full,2,,2,1
697,7,12,Slots Full,2,,2,1
698,6,11,Slots Full,2,,2,1
699,5,17,Slots Full,2,,2,0
700,14,13,Slots Full,1,,1,1
701,12,2,Slots Full,2,,2,1
702,12,15,Slots Full,2,,2,1
703,12,5,Slots Full,2,,2,0
704,11,13,Slots Full,1,,1,1
705,13,6,Slots Full,2,,2,1
706,7,13,Slots Full,2,,2,0
707,16,2,Slots Full,2,,2,1
708,1,12,Slots Full,2,,2,0
709,13,1,Slots Full,2,,2,1
710,6,11,Slots Full,2,,2,1
711,5,11,Slots Full,2,,2,1
712,12,13,Slots Full,2,,2,1
713,6,16,Slots Full,2,,2,0
714,13,5,Slots Full,2,,2,1
715,3,12,Slots Full,2,,2,1
716,14,3,Slots Full,2,,2,0
717,13,1,Slots Full,2,,2,1
718,1,17,Slots Full,2,,2,1
719,3,16,Slots Full,2,,2,0
720,1,13,Slots Full,2,,2,0
721,3,6,Slots Full,2,,2,1
722,3,4,Slots Full,2,,2,1
723,2,14,Slots Full,2,,2,1
724,8,15,Slots Full,2,,2,1
725,4,12,Slots Full,2,,2,1
726,5,16,Slots Full,2,,2,0
727,13,7,Slots Full,2,,2,0
728,12,5,Slots Full,2,,2,1
729,11,12,Slots Full,1,,1,1
